Attack Type,Count,Isolation Forest,One-Class SVM,LOF,Autoencoder,Voting Ensemble,Weighted Ensemble,Oracle (Max)
DoS,45927,0.2588891066257321,0.955625231345396,0.9083763363598756,0.9776384261980968,0.8735166677553509,0.8903259520543472,0.9776384261980969
Normal,67343,0.9000044548059932,0.902306104569146,0.909626835751303,0.949987378049686,0.9607383098466061,0.9568329299259017,0.9499873780496859
Probe,11656,0.7742793411118737,0.8604152367879204,0.8930164722031572,0.8380233356211393,0.8332189430336308,0.8677934111187371,0.8930164722031572
R2L,995,0.4633165829145728,0.4592964824120603,0.7417085427135678,0.1477386934673366,0.46130653266331656,0.46834170854271356,0.7417085427135678
U2R,52,0.5576923076923077,0.7115384615384616,0.5769230769230769,0.4807692307692308,0.4807692307692308,0.5769230769230769,0.7115384615384616
